algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
mRMR,Parkinsons,26,0.07054545454545454,0.9333333333333333,10,22,0.466602087020874
mRMR,SpectEW,3,0.18879817038307603,0.8125087351502446,7,22,0.30262207984924316
mRMR,SpectEW,0,0.1714133790737565,0.8314465408805031,10,22,0.5065321922302246
mRMR,SpectEW,8,0.18076329331046315,0.8197064989517819,5,22,0.21171808242797852
mRMR,SpectEW,9,0.18859062321326459,0.8127183787561147,7,22,0.2222919464111328
mRMR,SpectEW,6,0.1710280160091481,0.8313766596785465,9,22,0.327728271484375
mRMR,SpectEW,4,0.1834213836477986,0.8197763801537388,11,22,0.5231029987335205
mRMR,SpectEW,5,0.16844825614636932,0.8353598881900769,12,22,0.5622730255126953
mRMR,SpectEW,1,0.17721440823327608,0.8278825995807129,15,22,0.6688451766967773
mRMR,SpectEW,10,0.19588450543167507,0.8048916841369673,6,22,0.2336277961730957
mRMR,SpectEW,14,0.17004974271012013,0.8314465408805031,7,22,0.2270047664642334
mRMR,SpectEW,12,0.2053825042881646,0.7939203354297695,3,22,0.331190824508667
mRMR,SpectEW,7,0.18346998284734134,0.8243186582809224,21,22,0.7228958606719971
mRMR,SpectEW,17,0.17940880503144666,0.8238294898672256,11,22,0.4012308120727539
mRMR,SpectEW,16,0.17965580331618075,0.8240391334730957,12,22,0.42311716079711914
mRMR,SpectEW,13,0.19851286449399658,0.8054507337526206,13,22,0.5161678791046143
mRMR,SpectEW,18,0.1670154373927957,0.8354297693920337,9,22,0.32864904403686523
mRMR,SpectEW,20,0.15779473985134349,0.8429070580013978,5,22,0.1959090232849121
mRMR,SpectEW,11,0.1988976558033161,0.8087351502445843,21,22,0.7238712310791016
mRMR,SpectEW,15,0.19338307604345345,0.8129280223619846,18,22,0.5507018566131592
mRMR,SpectEW,22,0.20485877644368197,0.7939902166317262,2,22,0.15001535415649414
mRMR,SpectEW,24,0.20440423098913652,0.7939902166317262,1,22,0.15192699432373047
mRMR,SpectEW,27,0.17688907947398505,0.8236198462613558,5,22,0.26165294647216797
mRMR,SpectEW,21,0.1898850771869639,0.8127882599580714,10,22,0.45632314682006836
mRMR,SpectEW,19,0.19163407661520868,0.812858141160028,14,22,0.6629068851470947
mRMR,SpectEW,29,0.18031846769582613,0.8206149545772188,6,22,0.27365970611572266
mRMR,SpectEW,23,0.19435220125786154,0.8087351502445843,11,22,0.4962158203125
mRMR,TicTacToe,0,0.15672905759162287,0.8517888307155325,9,9,0.293475866317749
mRMR,SpectEW,26,0.1649199542595768,0.8389238294898673,12,22,0.5655999183654785
mRMR,SpectEW,25,0.19906632361349327,0.8048916841369673,13,22,0.6168739795684814
mRMR,SpectEW,28,0.17979416809605486,0.8238993710691824,12,22,0.5665228366851807
mRMR,TicTacToe,2,0.15777110602094235,0.8507362565445027,9,9,0.3004460334777832
mRMR,TicTacToe,1,0.16090265052356026,0.8475730802792321,9,9,0.3112046718597412
mRMR,TicTacToe,3,0.15987679973821992,0.8486092931937173,9,9,0.3003499507904053
mRMR,TicTacToe,4,0.15880775523560212,0.8496891361256544,9,9,0.3465309143066406
mRMR,TicTacToe,6,0.16502225130890044,0.843411867364747,9,9,0.2593982219696045
mRMR,TicTacToe,7,0.15880775523560212,0.8496891361256544,9,9,0.32198333740234375
mRMR,TicTacToe,8,0.15987679973821992,0.8486092931937173,9,9,0.328341007232666
mRMR,TicTacToe,5,0.16502225130890044,0.843411867364747,9,9,0.38670992851257324
mRMR,TicTacToe,9,0.15880775523560212,0.8496891361256544,9,9,0.3851199150085449
mRMR,TicTacToe,10,0.1660535013089006,0.8423702006980802,9,9,0.4011540412902832
mRMR,TicTacToe,11,0.16089185209424073,0.8475839877835952,9,9,0.3785567283630371
mRMR,TicTacToe,12,0.15571400523560205,0.8528141361256545,9,9,0.36296916007995605
mRMR,TicTacToe,13,0.16911485602094248,0.8392779232111692,9,9,0.3884000778198242
mRMR,TicTacToe,16,0.16501685209424083,0.8434173211169285,9,9,0.34307003021240234
mRMR,TicTacToe,15,0.1536191099476439,0.8549301919720769,9,9,0.3818521499633789
mRMR,TicTacToe,17,0.16500605366492152,0.8434282286212914,9,9,0.32036495208740234
mRMR,TicTacToe,14,0.16398020287958118,0.8444644415357766,9,9,0.4342942237854004
mRMR,TicTacToe,18,0.16604270287958117,0.8423811082024433,9,9,0.3907480239868164
mRMR,TicTacToe,20,0.16393700916230358,0.8445080715532287,9,9,0.3520047664642334
mRMR,TicTacToe,19,0.1618745091623036,0.846591404886562,9,9,0.42934203147888184
mRMR,TicTacToe,21,0.1577495091623036,0.8507580715532287,9,9,0.358151912689209
mRMR,TicTacToe,22,0.16916884816753916,0.8392233856893544,9,9,0.35022521018981934
mRMR,TicTacToe,23,0.16915804973821985,0.8392342931937173,9,9,0.35048818588256836
mRMR,TicTacToe,24,0.1567398560209424,0.8517779232111693,9,9,0.36297011375427246
mRMR,TicTacToe,26,0.16602650523560225,0.8423974694589876,9,9,0.31887197494506836
mRMR,TicTacToe,25,0.1526148560209423,0.8559445898778361,9,9,0.42950987815856934
mRMR,TicTacToe,27,0.1588023560209425,0.8496945898778359,9,9,0.44205379486083984
