step,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
3_MIObjective_NoRMS,ColonCancer,18,0.16623730769230766,0.8371794871794872,1009,2000,1015.7838920420036
3_MIObjective_NoRMS,ColonCancer,19,0.19653384615384611,0.8064102564102564,976,2000,1015.1509552081116
3_MIObjective_NoRMS,ColonCancer,20,0.1646980769230769,0.8384615384615385,955,2000,1012.2672517918982
3_MIObjective_NoRMS,ColonCancer,21,0.13166307692307702,0.8717948717948717,948,2000,1014.7039818749763
3_MIObjective_NoRMS,ColonCancer,22,0.13192807692307681,0.8717948717948719,1001,2000,1011.8048610002734
3_MIObjective_NoRMS,ColonCancer,23,0.22811461538461536,0.7743589743589744,946,2000,1013.4765122500248
3_MIObjective_NoRMS,ColonCancer,24,0.16365384615384615,0.8397435897435898,1000,2000,1014.1357732079923
3_MIObjective_NoRMS,ColonCancer,25,0.14688884615384618,0.8564102564102564,947,2000,1012.6296085002832
3_MIObjective_NoRMS,Sonar,0,0.11468176538908247,0.8895470383275261,32,60,571.3788711247034
3_MIObjective_NoRMS,Sonar,1,0.12377700348432052,0.8800232288037166,30,60,566.7629892500117
3_MIObjective_NoRMS,Sonar,2,0.1089558652729384,0.8946573751451801,28,60,564.2978687081486
3_MIObjective_NoRMS,ColonCancer,26,0.14587961538461544,0.8576923076923076,999,2000,600.1100347079337
3_MIObjective_NoRMS,ColonCancer,27,0.14827807692307696,0.8551282051282051,971,2000,597.96286520781
3_MIObjective_NoRMS,ColonCancer,28,0.21316384615384618,0.7897435897435897,1002,2000,594.3864668337628
3_MIObjective_NoRMS,Sonar,3,0.10823751451800229,0.894541231126597,23,60,558.9346452918835
3_MIObjective_NoRMS,ColonCancer,29,0.1622796153846155,0.8410256410256409,979,2000,588.439436874818
3_MIObjective_NoRMS,Sonar,4,0.13653484320557496,0.8656213704994192,21,60,305.17462120903656
3_MIObjective_NoRMS,Sonar,5,0.11437166085946586,0.8888501742160277,26,60,304.10544349998236
3_MIObjective_NoRMS,Sonar,6,0.10448315911730553,0.8988385598141695,26,60,305.5100559159182
3_MIObjective_NoRMS,Sonar,8,0.10996747967479677,0.8943089430894309,32,60,303.5585174160078
3_MIObjective_NoRMS,Sonar,9,0.11980429732868766,0.8842044134727061,31,60,303.0524917077273
3_MIObjective_NoRMS,Sonar,7,0.1429907084785134,0.8602787456445993,28,60,305.51808100007474
3_MIObjective_NoRMS,Sonar,10,0.11778106852497092,0.8849012775842044,23,60,303.6824081670493
3_MIObjective_NoRMS,Sonar,11,0.11862601626016263,0.8845528455284553,26,60,304.60402016621083
3_MIObjective_NoRMS,Sonar,12,0.11430836236933807,0.8890824622531939,27,60,311.92123712506145
3_MIObjective_NoRMS,Sonar,13,0.13264227642276424,0.8707317073170732,28,60,310.96840387489647
3_MIObjective_NoRMS,Sonar,14,0.1132967479674797,0.8894308943089431,23,60,311.54926508292556
3_MIObjective_NoRMS,Sonar,15,0.11756271777003482,0.8847851335656214,21,60,310.4620639998466
3_MIObjective_NoRMS,Sonar,16,0.12355865272938442,0.8799070847851336,28,60,310.5624247500673
3_MIObjective_NoRMS,Sonar,18,0.10414982578397221,0.8988385598141695,24,60,311.93539249990135
3_MIObjective_NoRMS,Sonar,17,0.11374506387921027,0.88931475029036,25,60,312.50471675023437
3_MIObjective_NoRMS,Sonar,19,0.12265040650406503,0.8804878048780488,26,60,311.25121220899746
3_MIObjective_NoRMS,Sonar,20,0.12839953542392574,0.8746806039488966,26,60,306.91280216677114
3_MIObjective_NoRMS,Sonar,21,0.12961788617886183,0.8747967479674796,34,60,306.6937242918648
3_MIObjective_NoRMS,Sonar,22,0.13266550522648085,0.8700348432055749,24,60,306.45316600007936
3_MIObjective_NoRMS,Sonar,24,0.12312195121951224,0.8796747967479674,24,60,305.0958690000698
3_MIObjective_NoRMS,Sonar,23,0.13787979094076655,0.8652729384436701,27,60,306.48854762502015
3_MIObjective_NoRMS,Sonar,25,0.123506968641115,0.8797909407665505,27,60,307.05377595871687
3_MIObjective_NoRMS,Sonar,26,0.10009059233449481,0.9039488966318234,30,60,307.93870154209435
3_MIObjective_NoRMS,Sonar,27,0.12327700348432052,0.8800232288037166,27,60,311.0439080414362
3_MIObjective_NoRMS,WDBC,0,0.029750038813848766,0.9736531594472908,11,30,392.2726577077992
3_MIObjective_NoRMS,WDBC,1,0.031416705480515436,0.9736531594472908,16,30,398.08028937503695
3_MIObjective_NoRMS,WDBC,2,0.0314474460487502,0.9736221083682658,16,30,400.13044670782983
3_MIObjective_NoRMS,WDBC,3,0.03040133519639811,0.9736686849868033,13,30,397.9905153750442
3_MIObjective_NoRMS,WDBC,4,0.03258779692594308,0.9701133364384413,9,30,399.77165691694245
3_MIObjective_NoRMS,Sonar,28,0.09011033681765397,0.9133565621370499,26,60,417.2670886251144
3_MIObjective_NoRMS,Sonar,29,0.13198722415795594,0.870383275261324,22,60,417.39861349994317
3_MIObjective_NoRMS,WDBC,5,0.030765409097966205,0.9736376339077782,14,30,402.9251190419309
3_MIObjective_NoRMS,WDBC,6,0.03455705635770854,0.9701443875174661,15,30,417.49175445828587
3_MIObjective_NoRMS,WDBC,7,0.02348470734358022,0.9806551777674274,13,30,415.62721633305773
3_MIObjective_NoRMS,WDBC,8,0.02973466852973144,0.9736686849868033,11,30,415.09514437476173
3_MIObjective_NoRMS,WDBC,9,0.034239093308492424,0.9701288619779538,14,30,416.73858249979094
3_MIObjective_NoRMS,WDBC,10,0.031184288154013473,0.9718677224033534,10,30,414.41323995869607
3_MIObjective_NoRMS,WDBC,13,0.025206179164725836,0.9789163173420278,13,30,414.27998533379287
3_MIObjective_NoRMS,WDBC,11,0.0290833721471821,0.9736531594472908,9,30,443.51360958302394
3_MIObjective_NoRMS,WDBC,12,0.03182021425244538,0.9718987734823784,12,30,491.42574220802635
3_MIObjective_NoRMS,WDBC,14,0.029719298245614114,0.9736842105263157,11,30,409.6015825420618
3_MIObjective_NoRMS,WDBC,16,0.026260984319205004,0.9771774569166279,11,30,405.20526954205707
3_MIObjective_NoRMS,WDBC,17,0.029331159757801612,0.9754230709517155,15,30,407.531066916883
3_MIObjective_NoRMS,WDBC,19,0.03138596491228078,0.9736842105263157,16,30,396.35232729138806
3_MIObjective_NoRMS,WDBC,18,0.028719298245614117,0.9736842105263157,8,30,409.5302561670542
3_MIObjective_NoRMS,WDBC,20,0.024166744294364433,0.9806396522279147,15,30,407.97448283294216
3_MIObjective_NoRMS,WDBC,15,0.02794302126998911,0.9771619313771154,16,30,484.0393708338961
3_MIObjective_NoRMS,WDBC,21,0.03247151063499461,0.971914299021891,14,30,405.7191894999705
3_MIObjective_NoRMS,WDBC,23,0.027655798789007976,0.9771153547585778,15,30,403.3419826659374
3_MIObjective_NoRMS,WDBC,22,0.03706148113646952,0.9666045645086166,12,30,413.6306028328836
3_MIObjective_NoRMS,WDBC,25,0.02834653004191894,0.9754075454122031,12,30,405.8978448747657
3_MIObjective_NoRMS,WDBC,26,0.029765409097966204,0.9736376339077782,11,30,404.37046333309263
3_MIObjective_NoRMS,WDBC,24,0.025903586399627487,0.9788852662630025,15,30,407.91746412497014
3_MIObjective_NoRMS,WDBC,27,0.0286952336593696,0.9753920198726906,13,30,409.51685987459496
3_MIObjective_NoRMS,WDBC,28,0.027346530041918938,0.9754075454122031,9,30,413.12107175029814
3_MIObjective_NoRMS,WDBC,29,0.0286952336593696,0.9753920198726906,13,30,416.47905024979264
3_MIObjective_NoRMS,Zoo,0,0.026674999999999907,0.9800000000000001,11,16,158.5255727916956
3_MIObjective_NoRMS,Zoo,1,0.03407500000000002,0.97,7,16,162.34213441703469
3_MIObjective_NoRMS,Zoo,2,0.023549999999999908,0.9800000000000001,6,16,163.5013524997048
3_MIObjective_NoRMS,Zoo,3,0.023078571428571403,0.9804761904761905,6,16,163.77142491657287
