config_name,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-RandomProbe,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,375.2597903339192
RG-SCSO-RandomProbe,Zoo,18,0.024953571428571512,0.9804761904761904,9,16,377.57020558277145
RG-SCSO-RandomProbe,Zoo,19,0.03345000000000002,0.97,6,16,374.2945640422404
RG-SCSO-RandomProbe,Zoo,20,0.01490000000000001,0.99,8,16,376.5265879156068
RG-SCSO-RandomProbe,Zoo,21,0.022924999999999907,0.9800000000000001,5,16,373.2226949580945
RG-SCSO-RandomProbe,Zoo,22,0.01615000000000001,0.99,10,16,377.08666458306834
RG-SCSO-RandomProbe,Zoo,23,0.025424999999999906,0.9800000000000001,9,16,377.65063020866364
RG-SCSO-RandomProbe,Zoo,24,0.022924999999999907,0.9800000000000001,5,16,379.4812552500516
RG-SCSO-RandomProbe,Zoo,25,0.025424999999999906,0.9800000000000001,9,16,377.04855225002393
RG-SCSO-RandomProbe,Zoo,26,0.02417499999999991,0.9800000000000001,7,16,376.25992099987343
RG-SCSO-RandomProbe,Zoo,27,0.023703571428571404,0.9804761904761905,7,16,382.31086862506345
RG-SCSO-RandomProbe,Zoo,28,0.02417499999999991,0.9800000000000001,7,16,379.0866190409288
RG-SCSO-RandomProbe,Zoo,29,0.01615000000000001,0.99,10,16,378.5789018338546
RG-SCSO-RandomProbe,Sonar,0,0.09336469221835074,0.9090592334494774,20,60,313.27791662467644
RG-SCSO-RandomProbe,Sonar,1,0.09326132404181188,0.9088269454123112,18,60,307.10762183275074
RG-SCSO-RandomProbe,Sonar,2,0.08905865272938454,0.9132404181184668,19,60,297.13976866705343
RG-SCSO-RandomProbe,Sonar,3,0.08337282229965155,0.918815331010453,18,60,305.8786774999462
RG-SCSO-RandomProbe,Sonar,4,0.09342799070847854,0.9088269454123112,19,60,294.3683403749019
RG-SCSO-RandomProbe,Sonar,5,0.1030865272938444,0.8990708478513356,19,60,295.17321887472644
RG-SCSO-RandomProbe,Sonar,7,0.09297967479674797,0.9089430894308943,17,60,286.16496329102665
RG-SCSO-RandomProbe,Sonar,6,0.08612601626016274,0.9178861788617885,29,60,295.25188479200006
RG-SCSO-RandomProbe,Sonar,8,0.10275319396051107,0.8990708478513356,17,60,299.47690691705793
RG-SCSO-RandomProbe,Sonar,9,0.1039947735191639,0.8984901277584203,21,60,310.74776395922527
RG-SCSO-RandomProbe,Sonar,11,0.09893554006968651,0.9036004645760742,21,60,296.49584266589954
RG-SCSO-RandomProbe,Sonar,10,0.09748722415795594,0.9037166085946573,13,60,328.16374987503514
RG-SCSO-RandomProbe,Sonar,12,0.10309814169570276,0.8987224157955864,17,60,292.89633045811206
RG-SCSO-RandomProbe,Sonar,13,0.10312659698025557,0.8995354239256678,22,60,294.518245624844
RG-SCSO-RandomProbe,Sonar,14,0.06990824622531948,0.932752613240418,20,60,294.32956333318725
RG-SCSO-RandomProbe,Sonar,15,0.10518989547038328,0.8993031358885017,33,60,292.2414276250638
RG-SCSO-RandomProbe,Sonar,16,0.09909059233449481,0.9039488966318234,24,60,302.6464596670121
RG-SCSO-RandomProbe,Sonar,17,0.09297967479674797,0.9089430894308943,17,60,290.6995630408637
RG-SCSO-RandomProbe,Sonar,19,0.11655110336817656,0.8851335656213705,17,60,286.026617417112
RG-SCSO-RandomProbe,Sonar,18,0.1030865272938444,0.8990708478513356,19,60,332.81414799997583
RG-SCSO-RandomProbe,Sonar,20,0.1088641114982579,0.8940766550522647,24,60,287.3047522078268
RG-SCSO-RandomProbe,Sonar,21,0.08444773519163772,0.9182346109175377,21,60,288.2142700422555
RG-SCSO-RandomProbe,Sonar,22,0.1078641114982579,0.8940766550522647,18,60,299.8255137922242
RG-SCSO-RandomProbe,Sonar,23,0.12167363530778166,0.8797909407665505,16,60,306.5185052501038
RG-SCSO-RandomProbe,Sonar,25,0.07540418118466909,0.9278745644599302,24,60,285.3310591247864
RG-SCSO-RandomProbe,Sonar,24,0.10763414634146344,0.8943089430894309,18,60,292.89121379191056
RG-SCSO-RandomProbe,Sonar,26,0.09403135888501753,0.9090592334494773,24,60,290.5606500003487
RG-SCSO-RandomProbe,Sonar,27,0.08927700348432065,0.9133565621370499,21,60,292.69446724979207
RG-SCSO-RandomProbe,Sonar,28,0.10026887340301983,0.9036004645760742,29,60,291.856806457974
RG-SCSO-RandomProbe,Sonar,29,0.10335656213705004,0.8993031358885016,22,60,289.4191630841233
RG-SCSO-RandomProbe,WDBC,0,0.025206179164725836,0.9789163173420278,13,30,730.8240117081441
RG-SCSO-RandomProbe,WDBC,1,0.022120633442012122,0.9806862288464524,9,30,737.4238136657514
RG-SCSO-RandomProbe,WDBC,2,0.024151374010246886,0.9806551777674274,15,30,679.1238506250083
RG-SCSO-RandomProbe,WDBC,3,0.022453966775345457,0.9806862288464524,10,30,741.1399847501889
RG-SCSO-RandomProbe,WDBC,6,0.02584210526315796,0.9789473684210526,15,30,681.3095740829594
RG-SCSO-RandomProbe,WDBC,4,0.02313600372612945,0.98067070330694,12,30,737.2197835003026
RG-SCSO-RandomProbe,WDBC,5,0.023500077627697548,0.9806396522279149,13,30,735.3423824999481
RG-SCSO-RandomProbe,WDBC,7,0.022151374010246885,0.9806551777674274,9,30,734.9310399163514
RG-SCSO-RandomProbe,WDBC,8,0.02552414221394195,0.9789318428815401,14,30,713.0319786248729
RG-SCSO-RandomProbe,WDBC,9,0.025539512498059167,0.9789163173420278,14,30,745.889090209268
RG-SCSO-RandomProbe,WDBC,10,0.02173249495419984,0.982425089271852,13,30,731.8443072922528
RG-SCSO-RandomProbe,WDBC,11,0.022802670392796334,0.9806707033069397,11,30,741.7719523329288
RG-SCSO-RandomProbe,WDBC,13,0.023888216115510046,0.9789007918025151,9,30,726.3093141252175
