sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,0.25,final,Sonar,3,0.0991538908246226,0.9037166085946573,23,404.86140129202977
gamma,0.25,final,Sonar,4,0.11661440185830425,0.8849012775842044,16,408.51776058296673
gamma,0.25,final,Sonar,5,0.123006968641115,0.8797909407665505,24,412.05747929099016
gamma,0.25,final,Sonar,6,0.10903077816492457,0.8940766550522647,25,415.79334200010635
gamma,0.25,final,Sonar,7,0.12649128919860633,0.8752613240418118,18,418.3993553330656
gamma,0.25,final,Sonar,8,0.10420150987224164,0.8989547038327526,25,434.067685832968
gamma,0.25,final,Sonar,9,0.11284843205574914,0.8895470383275261,21,434.9989823328797
gamma,0.25,final,ColonCancer,0,0.13304653846153855,0.8692307692307691,717,458.04847533395514
gamma,0.25,final,ColonCancer,1,0.17897384615384618,0.823076923076923,764,458.318611582974
gamma,0.25,final,ColonCancer,2,0.10158076923076922,0.9012820512820513,770,458.3605669999961
gamma,0.25,final,ColonCancer,3,0.14583884615384618,0.8564102564102564,737,459.3160689161159
gamma,0.25,final,ColonCancer,4,0.1168265384615384,0.885897435897436,773,459.38562187482603
gamma,0.25,final,ColonCancer,5,0.1791488461538462,0.823076923076923,799,459.02731116698124
gamma,0.5,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,161.90117475017905
umr_k,8.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,161.90117475017905
gamma,0.5,final,Zoo,1,0.025424999999999906,0.9800000000000001,9,163.00640354095958
umr_k,8.0,final,Zoo,1,0.025424999999999906,0.9800000000000001,9,163.00640354095958
gamma,0.5,final,Zoo,2,0.01677500000000001,0.99,11,165.3894087499939
umr_k,8.0,final,Zoo,2,0.01677500000000001,0.99,11,165.3894087499939
gamma,0.5,final,Zoo,3,0.0249535714285714,0.9804761904761905,9,167.98468325007707
umr_k,8.0,final,Zoo,3,0.0249535714285714,0.9804761904761905,9,167.98468325007707
gamma,0.25,final,ColonCancer,6,0.13320653846153854,0.8692307692307691,749,420.62944162497297
gamma,0.25,final,ColonCancer,7,0.1128588461538461,0.8897435897435898,741,420.6225651248824
gamma,0.5,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,171.71727954084054
umr_k,8.0,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,171.71727954084054
gamma,0.5,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,172.0820351659786
umr_k,8.0,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,172.0820351659786
gamma,0.5,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,174.05729729193263
umr_k,8.0,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,174.05729729193263
