algorithm,dataset,run_id,heldout_accuracy,train_cv_fitness,n_selected_features,n_total_features,runtime_seconds
RIME,BreastEW,8,0.9416058394160584,0.07149031600407754,4,9,321.8368115827907
RIME,BreastEW,9,0.9416058394160584,0.056318858307849204,5,9,322.87810133304447
RIME,BreastEW,10,0.9416058394160584,0.045452803261977405,5,9,326.3989664998371
RIME,BreastEW,11,0.948905109489051,0.04866360856269119,3,9,325.03490904089995
RIME,BreastEW,12,0.9781021897810219,0.05049663608562685,3,9,323.50233845808543
RIME,BreastEW,13,0.9781021897810219,0.03524260958205907,4,9,321.39730675006285
RIME,BreastEW,14,0.9635036496350365,0.06499571865443432,3,9,321.3473625839688
RIME,BreastEW,15,0.9635036496350365,0.04863058103975521,3,9,323.99107462516986
RIME,BreastEW,16,0.9416058394160584,0.07835066258919482,2,9,327.58913724985905
RIME,BreastEW,17,0.9635036496350365,0.05159123343527014,4,9,324.32120129209943
RIME,BreastEW,18,0.9635036496350365,0.05271885830784907,5,9,328.3600485417992
RIME,BreastEW,19,0.9781021897810219,0.06245728848114172,4,9,328.55592979188077
RIME,BreastEW,20,0.948905109489051,0.03275372069317016,5,9,328.3330982909538
RIME,BreastEW,21,0.9635036496350365,0.035681345565749104,6,9,328.4350921669975
RIME,BreastEW,22,0.9343065693430657,0.0643068297655453,4,9,331.59040495799854
RIME,BreastEW,23,0.927007299270073,0.08452212028542297,1,9,322.54318958404474
RIME,BreastEW,24,0.9416058394160584,0.05296901121304794,2,9,323.320245458046
RIME,BreastEW,25,0.9635036496350365,0.04335310907237516,8,9,323.6366167080123
RIME,BreastEW,26,0.9635036496350365,0.05268583078491332,5,9,315.7986329582054
RIME,BreastEW,27,0.8832116788321168,0.11096534148827727,2,9,313.24527912493795
RIME,BreastEW,28,0.9416058394160584,0.0599683995922527,5,9,291.18075970793143
RIME,BreastEW,29,0.9051094890510949,0.0548515800203874,2,9,247.81367058306932
RIME,ColonCancer,0,0.6153846153846154,0.229555,1031,2000,460.57448704191484
RIME,ColonCancer,1,0.8461538461538461,0.26711500000000016,1063,2000,452.782990250038
RIME,ColonCancer,2,0.6923076923076923,0.2843049999999999,981,2000,451.92614462506026
RIME,ColonCancer,3,0.8461538461538461,0.20491500000000007,943,2000,454.76168191689067
RIME,ColonCancer,4,0.7692307692307693,0.2447649999999999,993,2000,459.14813191606663
RIME,ColonCancer,5,0.7692307692307693,0.34819500000000003,999,2000,460.6712435411755
RIME,ColonCancer,6,0.6923076923076923,0.2888649999999999,1013,2000,467.5797434579581
RIME,ColonCancer,7,0.6153846153846154,0.25125000000000003,970,2000,473.34653279185295
RIME,ColonCancer,8,0.7692307692307693,0.2713499999999999,1030,2000,467.95426895911805
RIME,ColonCancer,9,0.6923076923076923,0.2842799999999999,976,2000,471.43953883391805
RIME,ColonCancer,10,0.6153846153846154,0.22504499999999997,1009,2000,471.53468287503347
RIME,ColonCancer,11,0.6153846153846154,0.22718000000000013,996,2000,473.90236279089004
RIME,ColonCancer,12,0.8461538461538461,0.22932000000000002,984,2000,474.41358683397993
RIME,ColonCancer,13,0.7692307692307693,0.24694500000000003,989,2000,475.14900933299214
RIME,ColonCancer,14,0.9230769230769231,0.2888799999999999,1016,2000,473.2674583750777
RIME,ColonCancer,15,0.8461538461538461,0.24907000000000015,974,2000,472.6655538750347
RIME,ColonCancer,16,0.6153846153846154,0.14581500000000003,1003,2000,465.9421162919607
RIME,ColonCancer,17,0.7692307692307693,0.22491499999999987,983,2000,470.5655406250153
RIME,ColonCancer,18,0.6153846153846154,0.1455899999999998,958,2000,469.90373175009154
RIME,ColonCancer,19,0.7692307692307693,0.3481650000000001,993,2000,470.83713695802726
RIME,ColonCancer,20,0.6923076923076923,0.3086250000000001,1005,2000,471.02452220907435
RIME,ColonCancer,21,0.8461538461538461,0.26689500000000005,1019,2000,470.9895990421064
RIME,ColonCancer,22,0.6923076923076923,0.4075350000000001,987,2000,471.6213344580028
RIME,ColonCancer,23,0.6923076923076923,0.27129000000000003,1018,2000,467.2730902500916
RIME,Diabetes,0,0.6168831168831169,0.34519952019192324,4,8,252.18972312496044
RIME,ColonCancer,24,0.6153846153846154,0.30641499999999994,1003,2000,445.9529266669415
RIME,ColonCancer,25,0.6923076923076923,0.1282949999999999,1019,2000,449.9077020410914
RIME,ColonCancer,26,0.6923076923076923,0.2095550000000001,991,2000,441.04380495799705
RIME,Diabetes,1,0.6883116883116883,0.3440154938024789,3,8,253.06768212513998
RIME,ColonCancer,27,0.7692307692307693,0.16357000000000016,1034,2000,440.8511881250888
RIME,ColonCancer,28,0.6923076923076923,0.22497499999999998,995,2000,438.4721806249581
RIME,ColonCancer,29,0.8461538461538461,0.24702500000000013,1005,2000,448.50850479188375
RIME,Diabetes,2,0.7272727272727273,0.24237654938024797,3,8,316.88006212492473
RIME,Diabetes,3,0.6883116883116883,0.3335054978008796,5,8,331.00095975003205
RIME,Diabetes,4,0.6948051948051948,0.34396271491403435,3,8,340.63139933301136
RIME,Diabetes,5,0.7792207792207793,0.2875552778888444,3,8,343.70470116706565
RIME,Diabetes,6,0.6363636363636364,0.32193022790883646,6,8,350.0293205829803
RIME,Diabetes,7,0.6103896103896104,0.3384007397041184,5,8,349.3486889998894
RIME,Diabetes,8,0.6623376623376623,0.35206427429028375,3,8,351.38648037496023
RIME,Diabetes,9,0.6753246753246753,0.3951283486605358,4,8,353.5949265828822
RIME,Diabetes,10,0.7467532467532467,0.29163864454218313,5,8,355.46980362501927
RIME,Diabetes,11,0.6363636363636364,0.3823162734906037,4,8,357.7772598329466
RIME,Diabetes,12,0.6558441558441559,0.32618942423030783,3,8,353.23296370799653
RIME,Diabetes,13,0.6493506493506493,0.29427489004398244,2,8,348.48098295903765
RIME,Diabetes,14,0.6363636363636364,0.32819852059176324,2,8,349.89147754199803
RIME,Diabetes,15,0.7402597402597403,0.27266813274690127,4,8,355.90474366699345
RIME,Diabetes,16,0.7597402597402597,0.2871295481807277,4,8,359.6828848340083
