group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
IonosphereEW,SCSO,0.002990680105981094,0.8863849765258215,0.8549295774647887,0.6326718363354593,0.6534391534391535,0.002990680105981094,+
KrVsKpEW,AOA,2.458756429538346e-06,0.9518229166666665,0.9288541666666669,1.450548027920749,0.9849462365591398,1.0393297398864684e-05,+
KrVsKpEW,COA,1.919722783767457e-06,0.9518229166666665,0.8353645833333333,1.2273268402554462,0.9956989247311828,1.0393297398864684e-05,+
KrVsKpEW,GWO,1.7322162331441138e-06,0.9518229166666665,0.7120312500000001,3.2301807741464477,1.0,1.0393297398864684e-05,+
KrVsKpEW,PSO,1.7322162331441138e-06,0.9518229166666665,0.79078125,1.401084816284516,1.0,1.0393297398864684e-05,+
KrVsKpEW,RIME,1.7333066441991056e-06,0.9518229166666665,0.7807812500000001,1.6468203128963814,1.0,1.0393297398864684e-05,+
KrVsKpEW,SCSO,2.2331379132413485e-06,0.9518229166666665,0.8350520833333334,1.1261273977834594,0.989247311827957,1.0393297398864684e-05,+
Leukemia,AOA,0.03843393023678172,0.9733333333333333,0.9622222222222221,0.4396968652757639,1.0,0.15373572094712687,=
Leukemia,COA,0.012738072274857485,0.9733333333333333,0.9466666666666667,0.5525062514530825,0.8333333333333334,0.06369036137428742,=
Leukemia,GWO,0.061608707987030636,0.9733333333333333,0.9577777777777778,0.41056625538311337,0.7222222222222222,0.1848261239610919,=
Leukemia,PSO,0.08326451666355039,0.9733333333333333,0.9599999999999999,0.41302328662451654,0.6666666666666666,0.1848261239610919,=
Leukemia,RIME,0.3864762307712327,0.9733333333333333,0.9644444444444443,0.2627691364061215,0.3333333333333333,0.3864762307712327,=
Leukemia,SCSO,0.006458954266892987,0.9733333333333333,0.9533333333333333,0.643650304346789,1.0,0.038753725601357925,+
Lymphography,AOA,0.11358487547818259,0.7977777777777779,0.8166666666666667,-0.26829678688110636,-0.36666666666666664,0.2398953944372585,=
Lymphography,COA,0.16629993894419526,0.7977777777777779,0.772222222222222,0.285332874053358,0.29802955665024633,0.2398953944372585,=
Lymphography,GWO,0.003667776961655573,0.7977777777777779,0.7355555555555555,0.6216667019844966,0.6615384615384615,0.018338884808277865,+
Lymphography,PSO,0.02494417458115275,0.7977777777777779,0.7611111111111112,0.49244464431295054,0.49206349206349204,0.099776698324611,=
