algorithm,dataset,metric,mean,std,best,worst
GWO,Parkinsons,train_cv_fitness,0.12373089565004877,0.025658318311440338,0.0631933651026392,0.1689024926686215
PSO,Parkinsons,heldout_accuracy,0.8717948717948718,0.052548465466459526,0.9743589743589745,0.7692307692307693
PSO,Parkinsons,n_selected_features,11.0,2.3664319132398464,17.0,6.0
PSO,Parkinsons,train_cv_fitness,0.1282177419354838,0.021057420024776084,0.0759675586510263,0.1700665322580645
RG-SCSO,Parkinsons,heldout_accuracy,0.9051282051282052,0.03925115385711126,1.0,0.7948717948717948
RG-SCSO,Parkinsons,n_selected_features,6.633333333333334,1.6629959577688562,11.0,4.0
RG-SCSO,Parkinsons,train_cv_fitness,0.04340688538611917,0.009289800094780285,0.0287302052785923,0.0600668988269793
RIME,Parkinsons,heldout_accuracy,0.8811965811965813,0.06603359286057678,1.0,0.6923076923076923
RIME,Parkinsons,n_selected_features,10.833333333333334,2.4776781245530843,14.0,5.0
RIME,Parkinsons,train_cv_fitness,0.12478210532746811,0.038151504624257294,0.060920637829912,0.2563594208211144
SCSO,Parkinsons,heldout_accuracy,0.8811965811965813,0.049756511377189394,0.9487179487179488,0.717948717948718
SCSO,Parkinsons,n_selected_features,11.233333333333333,2.2903177848402514,16.0,8.0
SCSO,Parkinsons,train_cv_fitness,0.10588912512218954,0.031274574801907935,0.0552430351906157,0.1577468841642227
AOA,Sonar,heldout_accuracy,0.8023809523809524,0.05771865979548161,0.9047619047619048,0.6666666666666666
AOA,Sonar,n_selected_features,59.86666666666667,0.42687494916218993,60.0,58.0
AOA,Sonar,train_cv_fitness,0.21503660130718946,0.023791522641850155,0.1709411764705881,0.266235294117647
COA,Sonar,heldout_accuracy,0.7936507936507937,0.07385644523258313,0.9047619047619048,0.5952380952380952
COA,Sonar,n_selected_features,28.2,6.49307323229917,41.0,12.0
COA,Sonar,train_cv_fitness,0.21397058823529402,0.019557997427145916,0.185627450980392,0.2704117647058823
GWO,Sonar,heldout_accuracy,0.8023809523809524,0.07040268582109553,0.9523809523809524,0.6666666666666666
GWO,Sonar,n_selected_features,29.766666666666666,3.972264957035078,39.0,24.0
GWO,Sonar,train_cv_fitness,0.2163669934640522,0.02884153062481416,0.1667647058823529,0.2900588235294117
PSO,Sonar,heldout_accuracy,0.7944444444444444,0.05411394899597075,0.9285714285714286,0.6666666666666666
PSO,Sonar,n_selected_features,30.566666666666666,4.58754352083504,38.0,21.0
PSO,Sonar,train_cv_fitness,0.2174885620915032,0.030759822288183837,0.1717647058823528,0.3219215686274511
RG-SCSO,Sonar,heldout_accuracy,0.807936507936508,0.055984736789042526,0.9047619047619048,0.7142857142857143
RG-SCSO,Sonar,n_selected_features,16.7,3.1107341041411214,23.0,10.0
RG-SCSO,Sonar,train_cv_fitness,0.11417156862745091,0.015676889093809973,0.0912745098039215,0.1505490196078431
RIME,Sonar,heldout_accuracy,0.7896825396825397,0.05109656699307894,0.9047619047619048,0.7142857142857143
RIME,Sonar,n_selected_features,29.7,4.235957192103496,37.0,23.0
RIME,Sonar,train_cv_fitness,0.20346176470588226,0.026848522826114305,0.1647745098039214,0.2730882352941176
SCSO,Sonar,heldout_accuracy,0.7976190476190477,0.06351686023719634,0.9523809523809524,0.6428571428571429
SCSO,Sonar,n_selected_features,29.566666666666666,3.480261803689806,38.0,25.0
SCSO,Sonar,train_cv_fitness,0.2089571895424836,0.034738406760946174,0.1472647058823529,0.2850588235294118
AOA,SpectEW,heldout_accuracy,0.8098765432098766,0.04380541975113623,0.8888888888888888,0.7222222222222222
AOA,SpectEW,n_selected_features,21.366666666666667,2.4149994248906608,22.0,9.0
AOA,SpectEW,train_cv_fitness,0.20665597503271918,0.02168358574419398,0.1633787375415281,0.2424252491694351
COA,SpectEW,heldout_accuracy,0.8012345679012346,0.03607812147210483,0.8888888888888888,0.7222222222222222
COA,SpectEW,n_selected_features,9.366666666666667,2.3872345693058503,15.0,2.0
COA,SpectEW,train_cv_fitness,0.19166687808315713,0.024930995879246742,0.1347913017215344,0.2373156146179401
GWO,SpectEW,heldout_accuracy,0.79320987654321,0.05411366158998301,0.8888888888888888,0.6666666666666666
GWO,SpectEW,n_selected_features,10.8,2.227105745132009,16.0,7.0
GWO,SpectEW,train_cv_fitness,0.2202715493808517,0.029181283360202266,0.1729761401389309,0.2955771670190274
PSO,SpectEW,heldout_accuracy,0.8074074074074074,0.036602387852774296,0.8703703703703703,0.7222222222222222
PSO,SpectEW,n_selected_features,11.033333333333333,2.483053675528492,18.0,7.0
PSO,SpectEW,train_cv_fitness,0.20708990234571625,0.02744299633298908,0.1536644518272425,0.2636735125339777
RG-SCSO,SpectEW,heldout_accuracy,0.8203703703703703,0.03947240068826708,0.8888888888888888,0.7407407407407407
RG-SCSO,SpectEW,n_selected_features,7.8,1.2220201853215573,12.0,6.0
RG-SCSO,SpectEW,train_cv_fitness,0.13187635155542127,0.008230527977853666,0.1052515856236786,0.1428722440350347
RIME,SpectEW,heldout_accuracy,0.7950617283950617,0.02826055096854222,0.8518518518518519,0.7407407407407407
RIME,SpectEW,n_selected_features,10.033333333333333,2.1982316125063397,14.0,6.0
RIME,SpectEW,train_cv_fitness,0.203265921675224,0.022754198028421345,0.1599616430081546,0.2428293566898217
SCSO,SpectEW,heldout_accuracy,0.8012345679012346,0.037323991253903635,0.8888888888888888,0.7222222222222222
SCSO,SpectEW,n_selected_features,11.033333333333333,2.575310121562493,15.0,1.0
SCSO,SpectEW,train_cv_fitness,0.19140119802677938,0.0287874793360923,0.1354971307762005,0.2649595288432497
AOA,TicTacToe,heldout_accuracy,0.7855902777777778,0.2118329473407985,0.8854166666666666,0.0
AOA,TicTacToe,n_selected_features,8.366666666666667,2.2432615144521653,9.0,0.0
AOA,TicTacToe,train_cv_fitness,0.23295904139433551,0.2064815224152612,0.1522100840336134,1.0
COA,TicTacToe,heldout_accuracy,0.6923611111111111,0.1980944620504615,0.8802083333333334,0.0
COA,TicTacToe,n_selected_features,5.933333333333334,2.4890872936792627,9.0,0.0
