algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO,WDBC,6,0.025594317652538338,0.9771774569166279,9,30,360.3054824999999
RG-SCSO,WDBC,7,0.021414531904983613,0.9824095637323398,12,30,357.22275120799895
RG-SCSO,WDBC,8,0.026943021269989112,0.9771619313771154,13,30,365.7138623339124
RG-SCSO,WDBC,9,0.02378730010867879,0.9806862288464524,14,30,360.8915205830708
RG-SCSO,Zoo,0,0.025424999999999906,0.9800000000000001,9,16,154.1673813329544
RG-SCSO,Zoo,1,0.022924999999999907,0.9800000000000001,5,16,154.51588775007986
RG-SCSO,Zoo,2,0.022924999999999907,0.9800000000000001,5,16,154.72100291692186
RG-SCSO,Zoo,3,0.022453571428571403,0.9804761904761905,5,16,157.9429204170592
RG-SCSO,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,155.29027233296074
RG-SCSO,Zoo,5,0.026049999999999907,0.9800000000000001,10,16,151.98841212503612
RG-SCSO,Zoo,6,0.022924999999999907,0.9800000000000001,5,16,147.72474695800338
RG-SCSO,Zoo,7,0.025578571428571402,0.9804761904761905,10,16,145.5859121249523
RG-SCSO,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,141.88542941701598
RG-SCSO,Zoo,9,0.023549999999999908,0.9800000000000001,6,16,141.2270009999629
SCSO,Leukemia,0,0.05958910269232304,0.9447619047619048,1751,3571,500.5989953749813
SCSO,Leukemia,1,0.04632469496339559,0.9580952380952381,1728,3571,497.89591737498995
SCSO,Leukemia,2,0.07488484218106162,0.9295238095238096,1826,3571,503.3842506670626
SCSO,Leukemia,3,0.05971511781413766,0.9447619047619048,1796,3571,504.6265282499371
SCSO,Leukemia,4,0.01896783614033679,0.9857142857142858,1723,3571,505.7056305001024
SCSO,Leukemia,5,0.03260748889866776,0.9723809523809525,1880,3571,509.73585583409294
SCSO,Leukemia,6,0.04575428251390168,0.959047619047619,1861,3571,507.0236144999508
SCSO,Leukemia,7,0.047289954794575415,0.9571428571428571,1736,3571,506.7490340420045
SCSO,Leukemia,8,0.04543224386926432,0.959047619047619,1746,3571,489.3463517909404
SCSO,Leukemia,9,0.058699451934232094,0.9457142857142857,1770,3571,488.4605019999435
SCSO,ColonCancer,0,0.18259230769230772,0.8205128205128205,980,2000,458.6586418329971
SCSO,ColonCancer,1,0.2920411538461539,0.7102564102564102,1039,2000,456.3665528749116
SCSO,ColonCancer,2,0.18396153846153848,0.8192307692307692,1000,2000,454.0449204160832
SCSO,ColonCancer,3,0.22965384615384601,0.7730769230769232,1000,2000,453.7844295409741
SCSO,ColonCancer,4,0.1978430769230769,0.8051282051282052,984,2000,453.1416172919562
