algorithm,wrapper,prior,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,KNN,mi,WDBC,0,0.027997826424468276,0.9754230709517155,11,30,353.5267620838713
RG-SCSO-MI,KNN,mi,WDBC,3,0.021368421052631523,0.9824561403508772,12,30,336.67043908312917
RG-SCSO-MI,KNN,mi,WDBC,2,0.023120633442012123,0.9806862288464524,12,30,356.6538565410301
RG-SCSO-MI,KNN,mi,WDBC,4,0.026943021269989112,0.9771619313771154,13,30,341.9805051248986
RG-SCSO-MI,KNN,mi,WDBC,5,0.02653951249805939,0.9789163173420276,17,30,386.43987466720864
RG-SCSO-MI,KNN,mi,WDBC,6,0.024175438596491294,0.9789473684210526,10,30,355.53068191581406
RG-SCSO-MI,KNN,mi,WDBC,8,0.027609687936655778,0.9771619313771154,15,30,356.9026219579391
RG-SCSO-MI,KNN,mi,WDBC,7,0.024151374010246886,0.9806551777674274,15,30,381.71950158290565
RG-SCSO-MI,KNN,mi,WDBC,9,0.02378730010867879,0.9806862288464524,14,30,356.58557779178955
RG-SCSO-MI,KNN,mi,WDBC,10,0.02523691973296082,0.9788852662630025,13,30,351.7180351249408
RG-SCSO-MI,KNN,mi,WDBC,12,0.025958391554106657,0.9771464058376027,10,30,363.1535208749119
RG-SCSO-MI,KNN,mi,WDBC,11,0.02306582828753317,0.982425089271852,17,30,402.5186381251551
RG-SCSO-MI,KNN,mi,WDBC,14,0.025260984319205006,0.9771774569166279,8,30,347.5344691670034
RG-SCSO-MI,KNN,mi,WDBC,13,0.023469337059462674,0.9806707033069401,13,30,373.8725351248868
RG-SCSO-MI,KNN,mi,WDBC,16,0.024857475547275285,0.9789318428815401,12,30,351.85083708306774
RG-SCSO-MI,KNN,mi,WDBC,15,0.02136842105263174,0.982456140350877,12,30,362.96669741603546
RG-SCSO-MI,KNN,mi,WDBC,17,0.024206179164725835,0.9789163173420278,10,30,367.0702008330263
RG-SCSO-MI,KNN,mi,WDBC,18,0.022787300108678788,0.9806862288464524,11,30,364.3157970830798
RG-SCSO-MI,KNN,mi,WDBC,19,0.021383791336748958,0.9824406148113647,12,30,361.7392902499996
RG-SCSO-MI,KNN,mi,WDBC,20,0.022469337059462784,0.98067070330694,10,30,366.3829573339317
RG-SCSO-MI,KNN,mi,WDBC,21,0.022802670392796116,0.98067070330694,11,30,368.7698115000967
RG-SCSO-MI,KNN,mi,WDBC,22,0.028059307560937913,0.9753609687936654,11,30,362.1805827920325
RG-SCSO-MI,KNN,mi,WDBC,24,0.024554882782176712,0.9789007918025151,11,30,359.59814691590145
RG-SCSO-MI,KNN,mi,WDBC,23,0.02248470734358022,0.9806551777674274,10,30,369.80182175012305
RG-SCSO-MI,KNN,mi,WDBC,25,0.02248470734358022,0.9806551777674274,10,30,364.94327083416283
RG-SCSO-MI,KNN,mi,WDBC,26,0.02419080888060862,0.9789318428815401,10,30,323.29628620808944
RG-SCSO-MI,KNN,mi,WDBC,27,0.024206179164725835,0.9789163173420278,10,30,384.02351600001566
RG-SCSO-MI,KNN,mi,WDBC,28,0.02348470734358022,0.9806551777674274,13,30,366.65650383289903
RG-SCSO-MI,KNN,mi,WDBC,29,0.025958391554106657,0.9771464058376027,10,30,316.2753138751723
RG-SCSO-MI,KNN,mi,ColonCancer,0,0.11570653846153839,0.885897435897436,549,2000,389.9649084159173
RG-SCSO-MI,KNN,mi,ColonCancer,1,0.16157384615384615,0.8397435897435898,584,2000,387.6267456668429
RG-SCSO-MI,KNN,mi,ColonCancer,2,0.08401076923076928,0.9179487179487179,556,2000,388.41903604217805
RG-SCSO-MI,KNN,mi,ColonCancer,3,0.12850884615384625,0.873076923076923,571,2000,385.72195733408444
RG-SCSO-MI,KNN,mi,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,2000,377.5051151250955
RG-SCSO-MI,KNN,mi,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,2000,386.44676695903763
