beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.001,Sonar,27,0.09051300813008131,0.9089430894308943,22,60,147.93192304112017
0.001,Sonar,28,0.08551875725900115,0.9139372822299652,19,60,145.53951416676864
0.001,Sonar,29,0.10945180023228811,0.8897793263646921,20,60,146.5784365418367
0.001,WDBC,0,0.02469782642446828,0.9754230709517155,11,30,358.53792212484404
0.001,WDBC,1,0.022960984319205006,0.9771774569166279,11,30,358.9604983748868
0.001,WDBC,2,0.019520633442012124,0.9806862288464524,12,30,359.37705187499523
0.001,WDBC,3,0.022978947368421015,0.9771929824561404,12,30,358.7013972918503
0.001,WDBC,4,0.02304302126998911,0.9771619313771154,13,30,358.9809183329344
0.001,WDBC,5,0.02143951249805939,0.9789163173420276,17,30,324.93988862494007
0.001,WDBC,7,0.01802990218910116,0.9823940381928271,18,30,346.4905002498999
0.001,WDBC,6,0.02301228070175435,0.9771929824561404,13,30,360.6544642080553
0.001,WDBC,11,0.01798119857165028,0.9824095637323398,17,30,310.4122029170394
0.001,WDBC,10,0.021221549448843274,0.9789007918025152,10,30,346.8851358750835
0.001,WDBC,8,0.023109687936655778,0.9771619313771154,15,30,362.4158210409805
0.001,WDBC,9,0.02132154944884338,0.9789007918025151,13,30,362.5944302920252
0.001,WDBC,12,0.021375438596491072,0.9789473684210528,16,30,360.0170904160477
0.001,WDBC,13,0.019569337059462674,0.9806707033069401,13,30,349.6219113753177
0.001,WDBC,15,0.021206179164725836,0.9789163173420278,10,30,343.56259274994954
0.001,WDBC,14,0.022860984319205004,0.9771774569166279,8,30,361.13212383398786
0.001,WDBC,17,0.017901754385964856,0.9824561403508772,16,30,352.6215393333696
0.001,WDBC,16,0.021257475547275285,0.9789318428815401,12,30,361.7859686668962
0.001,WDBC,18,0.019653966775345456,0.9806862288464524,16,30,357.26699725026265
0.001,WDBC,19,0.01778379133674896,0.9824406148113647,12,30,363.6893718340434
0.001,WDBC,20,0.019469337059462785,0.98067070330694,10,30,358.6342708747834
0.001,WDBC,21,0.01950267039279612,0.98067070330694,11,30,359.6764371669851
0.001,WDBC,22,0.022907095171557094,0.9771308802980905,8,30,356.55049483291805
0.001,WDBC,23,0.01948470734358022,0.9806551777674274,10,30,358.9061742089689
0.001,ColonCancer,0,0.11323603846153839,0.885897435897436,549,2000,123.60715037491173
0.001,ColonCancer,1,0.15894584615384613,0.8397435897435898,584,2000,123.16471699997783
0.001,WDBC,25,0.023009687936655778,0.9771619313771154,12,30,349.8258527498692
0.001,WDBC,24,0.021254882782176715,0.9789007918025151,11,30,370.1931376247667
