config_name,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
Full,WDBC,0,0.025206179164726058,0.9789163173420276,13,384.43849895801395
Full,WDBC,2,0.02381804067691355,0.9806551777674274,14,380.1157574999379
Full,WDBC,4,0.026276354603322442,0.9771619313771154,11,339.32552187505644
Full,WDBC,5,0.021399161620866504,0.982425089271852,12,337.7494598329067
Full,WDBC,6,0.025594317652538338,0.9771774569166279,9,372.6241058340529
Full,WDBC,7,0.021414531904983613,0.9824095637323398,12,367.0527260840172
Full,WDBC,8,0.026943021269989112,0.9771619313771154,13,374.1239955839701
Full,WDBC,9,0.02378730010867879,0.9806862288464524,14,374.9219357500551
Full,WDBC,10,0.027059307560937915,0.9753609687936654,8,368.35021049994975
Full,WDBC,12,0.025927650985871895,0.9771774569166277,10,368.4148448330816
Full,WDBC,11,0.02353951249805917,0.9789163173420278,8,389.5720525410725
Full,WDBC,13,0.02206582828753317,0.982425089271852,14,381.0738514170516
Full,WDBC,14,0.023508771929824628,0.9789473684210526,8,363.68896495795343
Full,WDBC,15,0.026276354603322442,0.9771619313771154,11,370.33101533399895
Full,WDBC,16,0.023857475547275284,0.9789318428815401,9,361.30526154092513
Full,WDBC,17,0.026276354603322442,0.9771619313771154,11,374.81031991599593
Full,WDBC,18,0.024175438596491294,0.9789473684210526,10,372.7732965409523
Full,WDBC,19,0.025554882782176713,0.9789007918025151,14,357.3383713749936
Full,WDBC,21,0.022802670392796116,0.98067070330694,11,363.8283170830691
Full,WDBC,20,0.023166744294364213,0.9806396522279149,12,367.37581224995665
Full,WDBC,22,0.02523691973296082,0.9788852662630025,13,361.3229427499464
Full,WDBC,23,0.023206179164725834,0.9789163173420278,7,354.0346232079901
Full,WDBC,24,0.025570253066294152,0.9788852662630025,14,369.9968220000155
Full,WDBC,25,0.024206179164725835,0.9789163173420278,10,370.9556728749303
Full,WDBC,26,0.02419080888060862,0.9789318428815401,10,364.53767854103353
Full,WDBC,27,0.02597376183822398,0.9771308802980903,10,372.705580290989
Full,WDBC,28,0.02238379133674896,0.9824406148113647,15,378.48761595902033
Full,WDBC,29,0.022453966775345457,0.9806862288464524,10,379.66888166603167
Full,Zoo,0,0.025424999999999906,0.9800000000000001,9,160.21528545801993
Full,Zoo,1,0.022924999999999907,0.9800000000000001,5,160.16124308295548
Full,Zoo,2,0.022924999999999907,0.9800000000000001,5,165.07646262506023
Full,Zoo,3,0.022453571428571403,0.9804761904761905,5,171.74105004104786
Full,Zoo,4,0.022453571428571514,0.9804761904761904,5,170.04928395792376
Full,Zoo,5,0.026049999999999907,0.9800000000000001,10,172.1470950419316
Full,Zoo,6,0.022924999999999907,0.9800000000000001,5,172.00943004200235
Full,Zoo,7,0.025578571428571402,0.9804761904761905,10,171.2623274170328
Full,Zoo,8,0.022924999999999907,0.9800000000000001,5,173.48173083295114
Full,Zoo,9,0.023549999999999908,0.9800000000000001,6,172.8220758329844
Full,Zoo,10,0.025424999999999906,0.9800000000000001,9,166.5327689589467
Full,Zoo,12,0.022924999999999907,0.9800000000000001,5,166.71486904204357
Full,Zoo,11,0.022924999999999907,0.9800000000000001,5,168.26021404203493
Full,Zoo,13,0.026674999999999907,0.9800000000000001,11,169.11462420795579
Full,Zoo,14,0.022924999999999907,0.9800000000000001,5,165.51983854197897
Full,Zoo,15,0.022453571428571403,0.9804761904761905,5,165.31093887495808
Full,Zoo,16,0.02417499999999991,0.9800000000000001,7,165.1617246660171
Full,Zoo,17,0.022924999999999907,0.9800000000000001,5,165.27642925002147
Full,Zoo,18,0.026049999999999907,0.9800000000000001,10,164.5217339999508
Full,Zoo,19,0.0329785714285713,0.9704761904761906,6,164.24883412499912
Full,Zoo,20,0.022453571428571403,0.9804761904761905,5,163.86852854199242
Full,Zoo,21,0.022924999999999907,0.9800000000000001,5,163.7788264589617
Full,Zoo,23,0.026049999999999907,0.9800000000000001,10,162.22997187497094
Full,Zoo,22,0.022924999999999907,0.9800000000000001,5,163.49580895807594
Full,Zoo,24,0.022924999999999907,0.9800000000000001,5,162.56603945803363
Full,Zoo,25,0.025424999999999906,0.9800000000000001,9,161.5272437920794
