algorithm,dataset,metric,mean,std,best,worst
ECL-SCSO,ColonCancer,n_selected_features,990.3333333333334,38.284316487158144,1071.0,882.0
GA,ColonCancer,accuracy,0.749017094017094,0.030020599497430328,0.8076923076923077,0.6923076923076923
GA,ColonCancer,fitness,0.25349841025641023,0.029712172927709776,0.1956196153846153,0.3095553846153846
GA,ColonCancer,n_selected_features,1005.0666666666667,25.60199644992988,1061.0,953.0
GWO,ColonCancer,accuracy,0.7647008547008548,0.0329942206890087,0.841025641025641,0.7217948717948718
GWO,ColonCancer,fitness,0.23792932051282045,0.032668978199726965,0.1621846153846153,0.2803930769230769
GWO,ColonCancer,n_selected_features,996.6333333333333,22.861150938266913,1058.0,957.0
HHO,ColonCancer,accuracy,0.38995726495726496,0.3498285612706077,0.8371794871794872,0.0
HHO,ColonCancer,fitness,0.608428141025641,0.3509979095605536,0.1621073076923076,1.0
HHO,ColonCancer,n_selected_features,30.5,70.19057391606559,282.0,0.0
OOA,ColonCancer,accuracy,0.12051282051282051,0.27267355144670335,0.8551282051282051,0.0
OOA,ColonCancer,fitness,0.8791189743589743,0.2733851814721015,0.1456080769230769,1.0
OOA,ColonCancer,n_selected_features,18.666666666666668,79.71839324912553,437.0,0.0
PSO,ColonCancer,accuracy,0.7689743589743591,0.03711075285153857,0.823076923076923,0.6782051282051282
PSO,ColonCancer,fitness,0.23368905128205122,0.03672573720984834,0.1802638461538462,0.323546923076923
PSO,ColonCancer,n_selected_features,994.7333333333333,26.121425858648852,1064.0,949.0
RG-SCSO,ColonCancer,accuracy,0.880940170940171,0.021223617992660253,0.917948717948718,0.8371794871794872
RG-SCSO,ColonCancer,fitness,0.12068489743589737,0.021012529155674736,0.0840107692307692,0.1638723076923076
RG-SCSO,ColonCancer,n_selected_features,563.1333333333333,17.661131208265104,604.0,530.0
RIME,ColonCancer,accuracy,0.7775641025641026,0.02949414633417267,0.8538461538461538,0.7256410256410256
RIME,ColonCancer,fitness,0.22522937179487174,0.029204285979304127,0.1497923076923077,0.2766653846153846
RIME,ColonCancer,n_selected_features,1003.5666666666667,23.241748834562532,1040.0,944.0
SCSO,ColonCancer,accuracy,0.7810256410256411,0.04018148615888225,0.8397435897435898,0.6923076923076923
SCSO,ColonCancer,fitness,0.221768282051282,0.03979042045613827,0.1635388461538461,0.3095453846153846
SCSO,ColonCancer,n_selected_features,996.7333333333333,24.422576076700473,1047.0,934.0
SSA,ColonCancer,accuracy,0.2833333333333333,0.35449185480912476,0.8717948717948719,0.0
SSA,ColonCancer,fitness,0.716022,0.3549884523312616,0.1273830769230768,1.0
SSA,ColonCancer,n_selected_features,104.4,252.13139431653488,971.0,0.0
WOA,ColonCancer,accuracy,0.2844871794871795,0.3516643297079683,0.8371794871794872,0.0
WOA,ColonCancer,fitness,0.7144445256410257,0.35289106732627196,0.1617473076923076,1.0
WOA,ColonCancer,n_selected_features,17.366666666666667,41.38154446395424,152.0,0.0
AOA,Diabetes,accuracy,0.7291251450074979,0.02314139434195186,0.760427807486631,0.651056786350904
