group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
GermanCredit,COA,1.919722783767457e-06,0.7609666666666668,0.7080999999999998,2.0377314747740867,0.9956989247311828,8.661081165720569e-06,+
GermanCredit,GWO,1.7322162331441138e-06,0.7609666666666668,0.6994999999999999,2.5465579588200136,1.0,8.661081165720569e-06,+
GermanCredit,PSO,1.7333066441991056e-06,0.7609666666666668,0.7090666666666666,2.2283958061388094,1.0,8.661081165720569e-06,+
GermanCredit,RIME,1.862645149230957e-09,0.7609666666666668,0.7050333333333333,2.0430604657013145,1.0,1.1175870895385742e-08,+
GermanCredit,SCSO,1.7322162331441138e-06,0.7609666666666668,0.7099333333333332,2.003661216514993,1.0,8.661081165720569e-06,+
HeartDisease,AOA,1.862645149230957e-09,0.8488644067796608,0.8197212806026365,2.294039071263914,1.0,1.1175870895385742e-08,+
HeartDisease,COA,1.862645149230957e-09,0.8488644067796608,0.777497175141243,2.3768523686226817,1.0,1.1175870895385742e-08,+
HeartDisease,GWO,1.862645149230957e-09,0.8488644067796608,0.7470772128060263,2.1052704468754935,1.0,1.1175870895385742e-08,+
HeartDisease,PSO,1.862645149230957e-09,0.8488644067796608,0.7539943502824858,2.642277939345069,1.0,1.1175870895385742e-08,+
HeartDisease,RIME,1.7333066441991056e-06,0.8488644067796608,0.7695047080979284,2.120964767841855,1.0,1.7333066441991056e-06,+
HeartDisease,SCSO,1.862645149230957e-09,0.8488644067796608,0.7759058380414313,1.5079560578674276,1.0,1.1175870895385742e-08,+
IonosphereEW,AOA,1.7289484360195754e-06,0.914056338028169,0.840637156270959,8.371034344632523,1.0,8.644742180097877e-06,+
IonosphereEW,COA,1.862645149230957e-09,0.914056338028169,0.8323165660630447,0.5182776857667822,1.0,1.1175870895385742e-08,+
IonosphereEW,GWO,1.7333066441991056e-06,0.914056338028169,0.84177733065057,4.701055824704076,1.0,8.644742180097877e-06,+
IonosphereEW,PSO,1.7322162331441138e-06,0.914056338028169,0.8487042253521128,4.625180201451746,1.0,8.644742180097877e-06,+
IonosphereEW,RIME,1.7333066441991056e-06,0.914056338028169,0.8513615023474178,2.795140914466514,1.0,8.644742180097877e-06,+
IonosphereEW,SCSO,1.7333066441991056e-06,0.914056338028169,0.8510744466800805,2.50206593824331,1.0,8.644742180097877e-06,+
KrVsKpEW,AOA,9.313225746154785e-09,0.9434817586071987,0.9299969353155972,1.2237896706303022,0.9870967741935484,1.862645149230957e-08,+
KrVsKpEW,COA,3.514963081274228e-06,0.9434817586071987,0.8529421296296297,0.9209553668407898,0.9862068965517241,3.514963081274228e-06,+
KrVsKpEW,GWO,1.862645149230957e-09,0.9434817586071987,0.6817389964788731,3.519609103306811,1.0,1.1175870895385742e-08,+
KrVsKpEW,PSO,1.862645149230957e-09,0.9434817586071987,0.7553515095200835,1.9856420911303578,1.0,1.1175870895385742e-08,+
KrVsKpEW,RIME,1.862645149230957e-09,0.9434817586071987,0.7824586756651019,1.5676261546423198,1.0,1.1175870895385742e-08,+
KrVsKpEW,SCSO,3.725290298461914e-09,0.9434817586071987,0.8296940532081378,1.164390579010318,0.9956989247311828,1.1175870895385742e-08,+
Leukemia,AOA,7.949546988583427e-06,0.9860000000000004,0.9625396825396825,1.5193581936289493,1.0,3.1798187954333706e-05,+
Leukemia,COA,3.692110961614752e-06,0.9860000000000004,0.946,1.1624677892082624,1.0,2.1643092789980783e-05,+
Leukemia,GWO,3.607182131663464e-06,0.9860000000000004,0.9601269841269843,1.675040323414595,1.0,2.1643092789980783e-05,+
Leukemia,PSO,1.2080106561372083e-05,0.9860000000000004,0.962730158730159,1.4413567069362274,1.0,3.471753811085015e-05,+
Leukemia,RIME,1.1572512703616716e-05,0.9860000000000004,0.9665079365079364,1.3662813471749904,1.0,3.471753811085015e-05,+
Leukemia,SCSO,1.1916199349573659e-05,0.9860000000000004,0.961904761904762,1.4761927041561878,1.0,3.471753811085015e-05,+
Lymphography,AOA,1.7300371292901247e-06,0.8650957854406129,0.808521072796935,2.922567319749151,1.0,8.650185646450624e-06,+
Lymphography,COA,1.7333066441991056e-06,0.8650957854406129,0.7842222222222223,2.8338739046031116,1.0,8.650185646450624e-06,+
Lymphography,GWO,1.862645149230957e-09,0.8650957854406129,0.7353563218390804,2.188179145267194,1.0,1.1175870895385742e-08,+
Lymphography,PSO,1.7322162331441138e-06,0.8650957854406129,0.7628122605363985,2.1187054193842023,1.0,8.650185646450624e-06,+
Lymphography,RIME,1.7333066441991056e-06,0.8650957854406129,0.7514712643678162,1.776856649471969,1.0,8.650185646450624e-06,+
Lymphography,SCSO,1.7322162331441138e-06,0.8650957854406129,0.7601302681992339,1.4623308481441595,1.0,8.650185646450624e-06,+
M-of-n,AOA,1.7311263949197288e-06,0.9939666666666669,0.8617999999999999,3.3120935311396624,1.0,8.655631974598644e-06,+
M-of-n,COA,1.7322162331441138e-06,0.9939666666666669,0.7995,2.8910237160198844,1.0,8.655631974598644e-06,+
M-of-n,GWO,1.862645149230957e-09,0.9939666666666669,0.7113333333333335,3.5538014079405578,1.0,1.1175870895385742e-08,+
M-of-n,PSO,1.7333066441991056e-06,0.9939666666666669,0.7185666666666666,3.3949702149503738,1.0,8.655631974598644e-06,+
M-of-n,RIME,1.7322162331441138e-06,0.9939666666666669,0.7535000000000001,3.3606977697626474,1.0,8.655631974598644e-06,+
M-of-n,SCSO,1.7322162331441138e-06,0.9939666666666669,0.7697666666666666,2.1230425126313506,1.0,8.655631974598644e-06,+
Parkinsons,AOA,1.718092931245674e-06,0.9617094017094018,0.9056410256410258,3.850059356756856,1.0,1.0250230194262408e-05,+
Parkinsons,COA,1.7256857880058038e-06,0.9617094017094018,0.8974358974358976,1.6489128146177463,1.0,1.0250230194262408e-05,+
Parkinsons,GWO,1.7235135468062217e-06,0.9617094017094018,0.8844444444444446,3.2176081220340977,1.0,1.0250230194262408e-05,+
Parkinsons,PSO,1.7213435893906393e-06,0.9617094017094018,0.8917948717948719,3.1507537944211848,1.0,1.0250230194262408e-05,+
Parkinsons,RIME,1.7083716990437346e-06,0.9617094017094018,0.9042735042735044,2.397638956634564,1.0,1.0250230194262408e-05,+
Parkinsons,SCSO,1.7256857880058038e-06,0.9617094017094018,0.8984615384615385,2.022254633583275,1.0,1.0250230194262408e-05,+
Sonar,AOA,1.7322162331441138e-06,0.8939643825009679,0.8069066976384052,6.642808564160947,1.0,6.9157937440783015e-06,+
Sonar,COA,1.7333066441991056e-06,0.8939643825009679,0.8200309717382889,3.086305590292112,1.0,6.9157937440783015e-06,+
Sonar,GWO,1.7322162331441138e-06,0.8939643825009679,0.8019434765776228,3.926067546844117,1.0,6.9157937440783015e-06,+
Sonar,PSO,1.862645149230957e-09,0.8939643825009679,0.8198838559814169,3.0435763535983,1.0,1.1175870895385742e-08,+
Sonar,RIME,1.7289484360195754e-06,0.8939643825009679,0.8146767324816105,2.8646642625461913,1.0,6.9157937440783015e-06,+
Sonar,SCSO,1.862645149230957e-09,0.8939643825009679,0.8121641502129306,2.8588715384704297,1.0,1.1175870895385742e-08,+
SpectEW,AOA,1.862645149230957e-09,0.8594852084789192,0.7980969019333801,3.852794320129265,1.0,1.1175870895385742e-08,+
SpectEW,COA,1.7322162331441138e-06,0.8594852084789192,0.8066061029583043,2.100281960080672,1.0,5.196648699432342e-06,+
SpectEW,GWO,1.862645149230957e-09,0.8594852084789192,0.7953552294432797,2.9931380255399085,1.0,1.1175870895385742e-08,+
SpectEW,PSO,1.862645149230957e-09,0.8594852084789192,0.7986023759608666,2.5597161294710657,1.0,1.1175870895385742e-08,+
SpectEW,RIME,1.919722783767457e-06,0.8594852084789192,0.7976077335196832,2.7465118385737375,0.9956989247311828,5.196648699432342e-06,+
SpectEW,SCSO,1.7333066441991056e-06,0.8594852084789192,0.7997297926857674,2.622597418266173,1.0,5.196648699432342e-06,+
TicTacToe,AOA,0.9316935455667716,0.8201788830715532,0.7732106239092497,0.21961283332844397,-0.02,0.9316935455667716,=
TicTacToe,COA,1.6789398011889544e-05,0.8201788830715532,0.6963559845840606,0.617085344478514,0.9310344827586207,3.357879602377909e-05,+
TicTacToe,GWO,1.862645149230957e-09,0.8201788830715532,0.6503503126817916,0.9257683953601783,1.0,1.1175870895385742e-08,+
TicTacToe,PSO,1.862645149230957e-09,0.8201788830715532,0.6473916521233275,0.9437306839808274,1.0,1.1175870895385742e-08,+
TicTacToe,RIME,1.862645149230957e-09,0.8201788830715532,0.6614143397324025,0.8491243391406291,1.0,1.1175870895385742e-08,+
TicTacToe,SCSO,1.862645149230957e-09,0.8201788830715532,0.6683009744037229,0.790658750259403,1.0,1.1175870895385742e-08,+
Vote,AOA,1.724599381815356e-06,0.9740024668516803,0.921554116558742,7.723656206956579,1.0,8.62299690907678e-06,+
Vote,COA,1.7333066441991056e-06,0.9740024668516803,0.8609250693802034,1.0599941933718757,1.0,8.62299690907678e-06,+
Vote,GWO,1.862645149230957e-09,0.9740024668516803,0.8824082639531298,2.3618700941360466,1.0,1.1175870895385742e-08,+
Vote,PSO,1.7333066441991056e-06,0.9740024668516803,0.8987357385137218,2.2838547592964296,1.0,8.62299690907678e-06,+
Vote,RIME,1.7322162331441138e-06,0.9740024668516803,0.895541165587419,1.9548175242073254,1.0,8.62299690907678e-06,+
Vote,SCSO,1.7333066441991056e-06,0.9740024668516803,0.8929602220166513,1.4780442189313017,1.0,8.62299690907678e-06,+
WDBC,AOA,1.7333066441991056e-06,0.9793857061532888,0.9650354499818868,4.195407283615694,1.0,8.661081165720569e-06,+
WDBC,COA,1.862645149230957e-09,0.9793857061532888,0.949443150649485,1.6976666041971196,1.0,1.1175870895385742e-08,+
WDBC,GWO,1.7333066441991056e-06,0.9793857061532888,0.9553651089375357,2.298646885982665,1.0,8.661081165720569e-06,+
WDBC,PSO,1.7333066441991056e-06,0.9793857061532888,0.9577726025979404,3.2461868515172108,1.0,8.661081165720569e-06,+
WDBC,RIME,1.7333066441991056e-06,0.9793857061532888,0.9555452051958806,2.330491603459118,1.0,8.661081165720569e-06,+
WDBC,SCSO,1.7322162331441138e-06,0.9793857061532888,0.9618718625472235,1.844457354227135,1.0,8.661081165720569e-06,+
WaveformEW,AOA,1.7322162331441138e-06,0.8197733333333334,0.77246,6.846884316559395,1.0,5.196648699432342e-06,+
WaveformEW,COA,1.7333066441991056e-06,0.8197733333333334,0.7626999999999999,2.571439591660892,1.0,5.196648699432342e-06,+
WaveformEW,GWO,1.7333066441991056e-06,0.8197733333333334,0.6837133333333333,2.045192614355711,1.0,5.196648699432342e-06,+
WaveformEW,PSO,1.862645149230957e-09,0.8197733333333334,0.7073933333333335,1.7795229351634965,1.0,1.1175870895385742e-08,+
WaveformEW,RIME,1.862645149230957e-09,0.8197733333333334,0.7256400000000001,1.8081681936714875,1.0,1.1175870895385742e-08,+
WaveformEW,SCSO,1.862645149230957e-09,0.8197733333333334,0.7177666666666667,1.247607655550737,1.0,1.1175870895385742e-08,+
Zoo,AOA,1.7040659206732472e-06,0.9807619047619046,0.9299206349206349,3.526252082480958,1.0,8.520329603366235e-06,+
Zoo,COA,1.862645149230957e-09,0.9807619047619046,0.8811111111111111,2.238779337317942,1.0,1.1175870895385742e-08,+
Zoo,GWO,1.7333066441991056e-06,0.9807619047619046,0.8293015873015874,1.8750612996679503,1.0,8.520329603366235e-06,+
Zoo,PSO,1.7322162331441138e-06,0.9807619047619046,0.8565396825396826,2.3589855456877005,1.0,8.520329603366235e-06,+
Zoo,RIME,1.7289484360195754e-06,0.9807619047619046,0.8650476190476191,2.037756386261722,1.0,8.520329603366235e-06,+
Zoo,SCSO,1.7333066441991056e-06,0.9807619047619046,0.8643015873015873,1.2672326852789262,1.0,8.520329603366235e-06,+
