group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
KrVsKpEW,OOA,1.862645149230957e-08,0.8018981970526867,0.9191081279342722,-
KrVsKpEW,PSO,0.06666470877826214,0.8018981970526867,0.7553515095200835,=
KrVsKpEW,SCSO,0.08406547829508781,0.8018981970526867,0.8296940532081378,=
KrVsKpEW,SSA,0.0061949919909238815,0.8018981970526867,0.8518261117631716,-
KrVsKpEW,WOA,0.0002562887966632843,0.8018981970526867,0.8824994457485655,-
Leukemia,AOA,0.340336231351539,0.9660952380952382,0.9625396825396825,=
Leukemia,COA,0.0017976925059825064,0.9660952380952382,0.946,+
Leukemia,GA,0.0014374913377156928,0.9660952380952382,0.9526031746031748,+
Leukemia,GWO,0.07707037040820955,0.9660952380952382,0.9601269841269843,=
Leukemia,HHO,1.6752383396794876e-06,0.9660952380952382,0.0453015873015873,+
Leukemia,OOA,1.6752383396794876e-06,0.9660952380952382,0.05107936507936508,+
Leukemia,PSO,0.14380197848297221,0.9660952380952382,0.962730158730159,=
Leukemia,SCSO,0.21064471207868152,0.9660952380952382,0.961904761904762,=
Leukemia,SSA,1.6762987141123663e-06,0.9660952380952382,0.05555555555555555,+
Leukemia,WOA,1.7116069924114545e-06,0.9660952380952382,0.14987301587301588,+
Lymphography,AOA,0.000283263623714447,0.7688582375478927,0.808521072796935,-
Lymphography,COA,0.12542824591441903,0.7688582375478927,0.7842222222222223,=
Lymphography,GA,7.910653948783875e-05,0.7688582375478927,0.6984137931034482,+
Lymphography,GWO,0.03871787761684298,0.7688582375478927,0.7353563218390804,+
Lymphography,HHO,0.9753858629082958,0.7688582375478927,0.6974482758620691,=
Lymphography,OOA,0.002560090273618698,0.7688582375478927,0.8053946360153258,-
Lymphography,PSO,0.8078304156661034,0.7688582375478927,0.7628122605363985,=
Lymphography,SCSO,0.9741237974374395,0.7688582375478927,0.7601302681992339,=
Lymphography,SSA,0.048312106544827406,0.7688582375478927,0.7686513409961686,+
Lymphography,WOA,0.004031794145703316,0.7688582375478927,0.8001455938697318,-
M-of-n,AOA,1.6391277313232422e-07,0.7618666666666667,0.8617999999999999,-
M-of-n,COA,0.015460003167390823,0.7618666666666667,0.7995,-
M-of-n,GA,1.7333066441991056e-06,0.7618666666666667,0.5913666666666668,+
M-of-n,GWO,0.007111456245183945,0.7618666666666667,0.7113333333333335,+
M-of-n,HHO,0.5170368097244535,0.7618666666666667,0.6733666666666664,=
M-of-n,OOA,0.0027663204818964005,0.7618666666666667,0.8233666666666665,-
M-of-n,PSO,0.07352786564949348,0.7618666666666667,0.7185666666666666,=
M-of-n,SCSO,0.7891646777424939,0.7618666666666667,0.7697666666666666,=
M-of-n,SSA,0.140283040702343,0.7618666666666667,0.7531666666666668,=
M-of-n,WOA,0.41652148499928654,0.7618666666666667,0.7462666666666667,=
Parkinsons,AOA,0.004901203490602559,0.8823931623931625,0.9056410256410258,-
Parkinsons,COA,0.10860384542499588,0.8823931623931625,0.8974358974358976,=
