algorithm,prior_method,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,24,0.09730894308943092,0.9040650406504065,14,60,959.4918701248243
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,25,0.10831242740998846,0.8939605110336817,20,60,975.5590540003031
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,26,0.10248315911730554,0.8988385598141695,14,60,920.5617518750951
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,27,0.1125783972125436,0.88931475029036,18,60,922.3470914582722
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,28,0.1028681765389083,0.8989547038327526,17,60,962.7020849166438
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,0,0.029028566992702932,0.9753920198726906,14,30,730.6462591672316
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,29,0.10330487804878051,0.8991869918699187,21,60,825.936587375123
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,1,0.026943021269989112,0.9771619313771154,13,30,767.5439346670173
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,8,0.02659431765253834,0.9771774569166279,12,30,589.384591375012
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,2,0.022787300108678788,0.9806862288464524,11,30,989.2805428337306
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,5,0.025469337059462784,0.98067070330694,19,30,862.5780049161986
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,3,0.02343859649122813,0.9807017543859649,13,30,1055.0767196668312
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,6,0.029052631578947448,0.9736842105263157,9,30,921.3319521252997
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,4,0.024508771929824626,0.9789473684210526,11,30,1013.3562663327903
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,7,0.02632246545567464,0.9771153547585778,11,30,1087.8505612909794
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,9,0.023857475547275284,0.9789318428815401,9,30,1046.7577201668173
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,13,0.022469337059462673,0.9806707033069401,10,30,809.9669620841742
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,10,0.0266250582207731,0.9771464058376029,12,30,1107.0369514999911
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,12,0.024175438596491072,0.9789473684210528,10,30,1080.0598383750767
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,11,0.02313600372612945,0.98067070330694,12,30,1248.2523209578358
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,14,0.023842105263157738,0.9789473684210528,9,30,1025.9072348750196
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,17,0.025206179164725836,0.9789163173420278,13,30,1013.3411070830189
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,15,0.024888216115510047,0.9789007918025151,12,30,1266.564699749928
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,16,0.02552414221394195,0.9789318428815401,14,30,1095.7988441670313
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,19,0.024857475547275177,0.9789318428815402,12,30,842.7574029578827
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,18,0.025578947368421014,0.9771929824561404,9,30,982.7148165423423
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,20,0.022802670392796116,0.98067070330694,11,30,889.359234417323
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,22,0.027059307560937697,0.9753609687936656,8,30,934.5636367918923
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,21,0.02659431765253834,0.9771774569166279,12,30,1162.5664070001803
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,24,0.021096568855767824,0.9823940381928271,11,30,963.6508275829256
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,23,0.02659431765253834,0.9771774569166279,12,30,1073.2531385840848
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,25,0.02523691973296082,0.9788852662630025,13,30,1081.436019165907
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,26,0.026609687936655777,0.9771619313771154,12,30,938.7710802922957
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,27,0.02208119857165028,0.9824095637323398,14,30,909.7223148751073
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,29,0.025888216115510048,0.9789007918025151,15,30,900.1124012921937
RG-SCSO-ShuffledMI,shuffled_mi,WDBC,28,0.025958391554106435,0.9771464058376029,10,30,1048.1196327083744
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,0,0.14731730769230772,0.8538461538461538,525,2000,1440.533213708084
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,1,0.1780688461538462,0.823076923076923,583,2000,1434.5367467910983
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,2,0.10056076923076922,0.9012820512820513,566,2000,1444.0551118748263
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,3,0.14478384615384618,0.8564102564102564,526,2000,1456.0890142079443
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,4,0.13119730769230778,0.8705128205128204,601,2000,1396.3923912923783
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,5,0.17680961538461543,0.8243589743589743,585,2000,1396.0241900002584
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,6,0.1157015384615384,0.885897435897436,548,2000,1368.7069499162026
RG-SCSO-ShuffledMI,shuffled_mi,ColonCancer,7,0.1118138461538461,0.8897435897435898,532,2000,1362.252301957924
