config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,IonosphereEW,25,0.07418617587880222,0.9259557344064386,3,34,292.8180763751734
bPSO-TVT,IonosphereEW,26,0.07565676411409633,0.9259557344064386,8,34,296.14516449999064
bPSO-TVT,IonosphereEW,27,0.07257391407267132,0.9287726358148893,7,34,322.92680516606197
bPSO-TVT,IonosphereEW,28,0.06750500650964615,0.934486921529175,9,34,328.6920828751754
bPSO-TVT,IonosphereEW,29,0.07337658894543737,0.9288531187122736,10,34,330.6118780421093
bPSO-TVT,KrVsKpEW,2,0.04048319919517099,0.9640140845070423,17,35,1716.8489278748166
bPSO-TVT,KrVsKpEW,0,0.04050492328973855,0.9637035406885758,16,35,1756.084420582978
bPSO-TVT,KrVsKpEW,1,0.03893099849094572,0.9655819640062597,17,35,1764.0384116659407
bPSO-TVT,KrVsKpEW,3,0.03799900025150907,0.9665233763693271,17,35,1767.811416250188
bPSO-TVT,KrVsKpEW,4,0.04078773264587515,0.9637064749608765,17,35,1789.1907122919802
bPSO-TVT,KrVsKpEW,5,0.04166902037223346,0.9633934859154929,19,35,1798.9607030840125
bPSO-TVT,KrVsKpEW,6,0.048792391851106606,0.9561981611893584,19,35,1780.5811514998786
bPSO-TVT,KrVsKpEW,7,0.040742831991951736,0.9643290297339593,19,35,1784.75359462481
bPSO-TVT,KrVsKpEW,9,0.04109856011066405,0.9633925078247261,17,35,1805.364780667005
bPSO-TVT,KrVsKpEW,8,0.04295868335010074,0.9615135954616587,17,35,1815.4852940419223
bPSO-TVT,KrVsKpEW,10,0.0392171969315897,0.9655814749608762,18,35,1797.309532500105
bPSO-TVT,KrVsKpEW,11,0.03802605005030188,0.9662074530516431,16,35,1810.4632527921349
bPSO-TVT,KrVsKpEW,12,0.040811877515090494,0.963393485915493,16,35,1800.4976390830707
bPSO-TVT,KrVsKpEW,13,0.039597554074446595,0.9643314749608765,15,35,1770.7097947499715
bPSO-TVT,KrVsKpEW,15,0.042383865694164906,0.9615170187793428,15,35,1726.9664187501185
bPSO-TVT,KrVsKpEW,14,0.038287135311871244,0.96652093114241,18,35,1799.8425457500853
bPSO-TVT,KrVsKpEW,16,0.03854967303822934,0.9668329420970266,20,35,1790.8492070001084
bPSO-TVT,KrVsKpEW,18,0.03985912349094576,0.9646444640062597,17,35,1787.3930646248627
bPSO-TVT,KrVsKpEW,17,0.050628370221327955,0.9546322378716745,20,35,1805.8363653752021
bPSO-TVT,KrVsKpEW,20,0.04706122359154921,0.9565038145539907,14,35,1708.422851667041
bPSO-TVT,KrVsKpEW,19,0.042986701458752476,0.9611966940532082,16,35,1793.1447615420911
bPSO-TVT,KrVsKpEW,23,0.039192083752515094,0.9658954420970266,19,35,1742.3999379170127
bPSO-TVT,KrVsKpEW,21,0.03795409959758543,0.9671459311424101,19,35,1814.1795703750104
bPSO-TVT,KrVsKpEW,22,0.04512721327967799,0.9593231611893585,17,35,1810.2467839580495
bPSO-TVT,Leukemia,0,0.01798491819018277,0.9857142857142858,1372,3571,593.4436691249721
bPSO-TVT,Leukemia,1,0.017934512141456926,0.9857142857142858,1354,3571,589.539034874877
bPSO-TVT,Leukemia,2,0.01776369164299711,0.9857142857142858,1293,3571,585.747456750134
bPSO-TVT,Leukemia,3,0.016955250630075584,0.9866666666666667,1341,3571,583.0495738750324
bPSO-TVT,KrVsKpEW,25,0.037099377515090466,0.967143485915493,16,35,1726.0544860409573
bPSO-TVT,KrVsKpEW,26,0.04017043511066401,0.9643300078247261,17,35,1727.989417457953
bPSO-TVT,KrVsKpEW,24,0.052512638329979766,0.9524403364632239,19,35,1744.7981993330177
bPSO-TVT,KrVsKpEW,28,0.041720215040241385,0.9627645735524257,17,35,1714.4364347499795
bPSO-TVT,KrVsKpEW,27,0.04388777665995992,0.9605751173708919,17,35,1741.1928271669894
bPSO-TVT,KrVsKpEW,29,0.03919014713279689,0.9658973982785601,19,35,1717.1125032498967
bPSO-TVT,Leukemia,4,0.017777693323198732,0.9857142857142858,1298,3571,547.6431225000415
bPSO-TVT,Leukemia,5,0.016809633155978693,0.9866666666666667,1289,3571,543.7540285829455
