algorithm,dataset,run_id,accuracy,n_selected_features,target_k
ConcreteAE,Lymphography,29,0.7558620689655171,7,8
ConcreteAE,M-of-n,0,0.739,5,6
ConcreteAE,M-of-n,1,0.534,5,6
ConcreteAE,M-of-n,2,0.6489999999999999,6,6
ConcreteAE,M-of-n,3,0.793,6,6
ConcreteAE,M-of-n,4,0.702,6,6
ConcreteAE,M-of-n,5,0.813,6,6
ConcreteAE,M-of-n,6,0.724,6,6
ConcreteAE,M-of-n,7,0.666,6,6
ConcreteAE,M-of-n,8,0.76,6,6
ConcreteAE,M-of-n,9,0.62,6,6
ConcreteAE,M-of-n,10,0.6910000000000001,6,6
ConcreteAE,M-of-n,11,0.7060000000000001,6,6
ConcreteAE,M-of-n,12,0.768,6,6
ConcreteAE,M-of-n,13,0.713,5,6
ConcreteAE,M-of-n,14,0.7780000000000001,6,6
ConcreteAE,M-of-n,15,0.7170000000000001,6,6
ConcreteAE,M-of-n,16,0.6779999999999999,6,6
ConcreteAE,M-of-n,17,0.6699999999999999,5,6
ConcreteAE,M-of-n,18,0.669,5,6
ConcreteAE,M-of-n,19,0.67,6,6
ConcreteAE,M-of-n,20,0.734,5,6
ConcreteAE,M-of-n,21,0.6950000000000001,6,6
ConcreteAE,M-of-n,22,0.6359999999999999,5,6
ConcreteAE,M-of-n,23,0.807,6,6
ConcreteAE,M-of-n,24,0.674,6,6
ConcreteAE,M-of-n,25,0.7089999999999999,5,6
ConcreteAE,M-of-n,26,0.773,6,6
ConcreteAE,M-of-n,27,0.788,6,6
ConcreteAE,M-of-n,28,0.784,6,6
ConcreteAE,M-of-n,29,0.6940000000000001,5,6
ConcreteAE,Parkinsons,0,0.923076923076923,8,8
ConcreteAE,Parkinsons,1,0.8871794871794872,7,8
ConcreteAE,Parkinsons,2,0.8461538461538461,7,8
ConcreteAE,Parkinsons,3,0.8307692307692308,6,8
ConcreteAE,Parkinsons,4,0.8923076923076924,7,8
ConcreteAE,Parkinsons,5,0.9025641025641026,6,8
ConcreteAE,Parkinsons,6,0.876923076923077,7,8
ConcreteAE,Parkinsons,7,0.8256410256410257,6,8
ConcreteAE,Parkinsons,8,0.9282051282051281,8,8
ConcreteAE,Parkinsons,9,0.841025641025641,6,8
ConcreteAE,Parkinsons,10,0.9076923076923077,8,8
ConcreteAE,Parkinsons,11,0.8820512820512821,7,8
ConcreteAE,Parkinsons,12,0.841025641025641,7,8
ConcreteAE,Parkinsons,13,0.923076923076923,7,8
ConcreteAE,Parkinsons,14,0.8256410256410257,7,8
ConcreteAE,Parkinsons,15,0.8923076923076924,5,8
ConcreteAE,Parkinsons,16,0.9025641025641026,7,8
ConcreteAE,Parkinsons,17,0.8923076923076924,8,8
ConcreteAE,Parkinsons,18,0.9025641025641026,7,8
ConcreteAE,Parkinsons,19,0.8974358974358975,7,8
ConcreteAE,Parkinsons,20,0.8615384615384615,7,8
ConcreteAE,Parkinsons,21,0.8871794871794872,8,8
ConcreteAE,Parkinsons,22,0.9230769230769231,8,8
ConcreteAE,Parkinsons,23,0.8820512820512821,6,8
ConcreteAE,Parkinsons,24,0.9128205128205128,6,8
ConcreteAE,Parkinsons,25,0.8871794871794872,7,8
ConcreteAE,Parkinsons,26,0.8974358974358975,7,8
ConcreteAE,Parkinsons,27,0.9025641025641026,7,8
ConcreteAE,Parkinsons,28,0.8717948717948717,6,8
ConcreteAE,Parkinsons,29,0.8871794871794872,6,8
ConcreteAE,Sonar,0,0.8077816492450639,16,19
ConcreteAE,Sonar,1,0.7887340301974447,17,19
ConcreteAE,Sonar,2,0.846109175377468,17,19
ConcreteAE,Sonar,3,0.7936120789779325,15,19
ConcreteAE,Sonar,4,0.759233449477352,15,19
ConcreteAE,Sonar,5,0.802787456445993,17,19
ConcreteAE,Sonar,6,0.8120789779326364,17,19
ConcreteAE,Sonar,7,0.7646922183507548,17,19
ConcreteAE,Sonar,8,0.7550522648083623,16,19
ConcreteAE,Sonar,9,0.7399535423925669,18,19
ConcreteAE,Sonar,10,0.8177700348432057,16,19
ConcreteAE,Sonar,11,0.8170731707317073,18,19
ConcreteAE,Sonar,12,0.778397212543554,19,19
